"時刻","操作","EventID","SubjectUserSid","SubjectUserName","SubjectDomainName","SubjectLogonId","ObjectType","IpAddress","IpPort","ShareName","ShareLocalPath","RelativeTargetName","AccessMask","AccessMask解釈","AccessList","AccessList解釈","AccessReason","AccessReason解釈","その他"
"23:04:14.525104","ShareFileAccess","5145","S-1-5-21-3393082697-3192495989-2329455330-1012","smbtest","WIN-DESK-2022","0x70288c06","File","192.168.1.20","49690","\\*\ProbeTest","\??\D:\tmp\ProbeTest","Source","0x100081","ListDirectory, ReadAttributes, Synchronize","%%1541 /     %%4416 /     %%4423 /     ","SYNCHRONIZE(%%1541), ReadData(ListDirectory)(%%4416), ReadAttributes(%%4423)","%%1541: %%1801 D:(A;;FA;;;WD) /     %%4416: %%1801 D:(A;;FA;;;WD) /     %%4423: %%1801 D:(A;;FA;;;WD) /     ","SYNCHRONIZE: 許可 D:(A;;FA;;;WD) / ReadData(ListDirectory): 許可 D:(A;;FA;;;WD) / ReadAttributes: 許可 D:(A;;FA;;;WD)",""
"23:04:16.486389","ShareFileAccess","5145","S-1-5-21-3393082697-3192495989-2329455330-1012","smbtest","WIN-DESK-2022","0x70288c06","File","192.168.1.20","49690","\\*\ProbeTest","\??\D:\tmp\ProbeTest","\","0x100081","ListDirectory, ReadAttributes, Synchronize","%%1541 /     %%4416 /     %%4423 /     ","SYNCHRONIZE(%%1541), ReadData(ListDirectory)(%%4416), ReadAttributes(%%4423)","%%1541: %%1801 D:(A;;FA;;;WD) /     %%4416: %%1801 D:(A;;FA;;;WD) /     %%4423: %%1801 D:(A;;FA;;;WD) /     ","SYNCHRONIZE: 許可 D:(A;;FA;;;WD) / ReadData(ListDirectory): 許可 D:(A;;FA;;;WD) / ReadAttributes: 許可 D:(A;;FA;;;WD)",""
"23:04:16.486806","ShareFileAccess","5145","S-1-5-21-3393082697-3192495989-2329455330-1012","smbtest","WIN-DESK-2022","0x70288c06","File","192.168.1.20","49690","\\*\ProbeTest","\??\D:\tmp\ProbeTest","\","0x100081","ListDirectory, ReadAttributes, Synchronize","%%1541 /     %%4416 /     %%4423 /     ","SYNCHRONIZE(%%1541), ReadData(ListDirectory)(%%4416), ReadAttributes(%%4423)","%%1541: %%1801 D:(A;;FA;;;WD) /     %%4416: %%1801 D:(A;;FA;;;WD) /     %%4423: %%1801 D:(A;;FA;;;WD) /     ","SYNCHRONIZE: 許可 D:(A;;FA;;;WD) / ReadData(ListDirectory): 許可 D:(A;;FA;;;WD) / ReadAttributes: 許可 D:(A;;FA;;;WD)",""
"23:04:16.487037","ShareFileAccess","5145","S-1-5-21-3393082697-3192495989-2329455330-1012","smbtest","WIN-DESK-2022","0x70288c06","File","192.168.1.20","49690","\\*\ProbeTest","\??\D:\tmp\ProbeTest","\","0x80","ReadAttributes","%%4423 /     ","ReadAttributes(%%4423)","%%4423: %%1801 D:(A;;FA;;;WD) /     ","ReadAttributes: 許可 D:(A;;FA;;;WD)",""
"23:04:16.487334","ShareFileAccess","5145","S-1-5-21-3393082697-3192495989-2329455330-1012","smbtest","WIN-DESK-2022","0x70288c06","File","192.168.1.20","49690","\\*\ProbeTest","\??\D:\tmp\ProbeTest","\","0x120089","Read, Synchronize","%%1538 /     %%1541 /     %%4416 /     %%4419 /     %%4423 /     ","READ_CONTROL(%%1538), SYNCHRONIZE(%%1541), ReadData(ListDirectory)(%%4416), ReadEA(%%4419), ReadAttributes(%%4423)","%%1538: %%1801 D:(A;;FA;;;WD) /     %%1541: %%1801 D:(A;;FA;;;WD) /     %%4416: %%1801 D:(A;;FA;;;WD) /     %%4419: %%1801 D:(A;;FA;;;WD) /     %%4423: %%1801 D:(A;;FA;;;WD) /     ","READ_CONTROL: 許可 D:(A;;FA;;;WD) / SYNCHRONIZE: 許可 D:(A;;FA;;;WD) / ReadData(ListDirectory): 許可 D:(A;;FA;;;WD) / ReadEA: 許可 D:(A;;FA;;;WD) / ReadAttributes: 許可 D:(A;;FA;;;WD)",""
"23:04:16.487577","ShareFileAccess","5145","S-1-5-21-3393082697-3192495989-2329455330-1012","smbtest","WIN-DESK-2022","0x70288c06","File","192.168.1.20","49690","\\*\ProbeTest","\??\D:\tmp\ProbeTest","Source\copy_source.txt","0x120089","Read, Synchronize","%%1538 /     %%1541 /     %%4416 /     %%4419 /     %%4423 /     ","READ_CONTROL(%%1538), SYNCHRONIZE(%%1541), ReadData(ListDirectory)(%%4416), ReadEA(%%4419), ReadAttributes(%%4423)","%%1538: %%1801 D:(A;;FA;;;WD) /     %%1541: %%1801 D:(A;;FA;;;WD) /     %%4416: %%1801 D:(A;;FA;;;WD) /     %%4419: %%1801 D:(A;;FA;;;WD) /     %%4423: %%1801 D:(A;;FA;;;WD) /     ","READ_CONTROL: 許可 D:(A;;FA;;;WD) / SYNCHRONIZE: 許可 D:(A;;FA;;;WD) / ReadData(ListDirectory): 許可 D:(A;;FA;;;WD) / ReadEA: 許可 D:(A;;FA;;;WD) / ReadAttributes: 許可 D:(A;;FA;;;WD)",""
"23:04:16.487859","ShareFileAccess","5145","S-1-5-21-3393082697-3192495989-2329455330-1012","smbtest","WIN-DESK-2022","0x70288c06","File","192.168.1.20","49690","\\*\ProbeTest","\??\D:\tmp\ProbeTest","copy_source.txt","0x17019f","Write, Delete, Read, ChangePermissions, Synchronize","%%1537 /     %%1538 /     %%1539 /     %%1541 /     %%4416 /     %%4417 /     %%4418 /     %%4419 /     %%4420 /     %%4423 /     %%4424 /     ","DELETE(%%1537), READ_CONTROL(%%1538), WRITE_DAC(%%1539), SYNCHRONIZE(%%1541), ReadData(ListDirectory)(%%4416), WriteData(AddFile)(%%4417), AppendData(AddSubdirectory)(%%4418), ReadEA(%%4419), WriteEA(%%4420), ReadAttributes(%%4423), WriteAttributes(%%4424)","%%1537: %%1801 D:(A;;FA;;;WD) /     %%1538: %%1801 D:(A;;FA;;;WD) /     %%1539: %%1801 D:(A;;FA;;;WD) /     %%1541: %%1801 D:(A;;FA;;;WD) /     %%4416: %%1801 D:(A;;FA;;;WD) /     %%4417: %%1801 D:(A;;FA;;;WD) /     %%4418: %%1801 D:(A;;FA;;;WD) /     %%4419: %%1801 D:(A;;FA;;;WD) /     %%4420: %%1801 D:(A;;FA;;;WD) /     %%4423: %%1801 D:(A;;FA;;;WD) /     %%4424: %%1801 D:(A;;FA;;;WD) /     ","DELETE: 許可 D:(A;;FA;;;WD) / READ_CONTROL: 許可 D:(A;;FA;;;WD) / WRITE_DAC: 許可 D:(A;;FA;;;WD) / SYNCHRONIZE: 許可 D:(A;;FA;;;WD) / ReadData(ListDirectory): 許可 D:(A;;FA;;;WD) / WriteData(AddFile): 許可 D:(A;;FA;;;WD) / AppendData(AddSubdirectory): 許可 D:(A;;FA;;;WD) / ReadEA: 許可 D:(A;;FA;;;WD) / WriteEA: 許可 D:(A;;FA;;;WD) / ReadAttributes: 許可 D:(A;;FA;;;WD) / WriteAttributes: 許可 D:(A;;FA;;;WD)",""
"23:04:16.488384","ShareFileAccess","5145","S-1-5-21-3393082697-3192495989-2329455330-1012","smbtest","WIN-DESK-2022","0x70288c06","File","192.168.1.20","49690","\\*\ProbeTest","\??\D:\tmp\ProbeTest","copy_source.txt","0x2","CreateFiles","%%4417 /     ","WriteData(AddFile)(%%4417)","%%4417: %%1801 D:(A;;FA;;;WD) /     ","WriteData(AddFile): 許可 D:(A;;FA;;;WD)",""
"23:04:16.488609","ShareFileAccess","5145","S-1-5-21-3393082697-3192495989-2329455330-1012","smbtest","WIN-DESK-2022","0x70288c06","File","192.168.1.20","49690","\\*\ProbeTest","\??\D:\tmp\ProbeTest","copy_source.txt","0x80","ReadAttributes","%%4423 /     ","ReadAttributes(%%4423)","%%4423: %%1801 D:(A;;FA;;;WD) /     ","ReadAttributes: 許可 D:(A;;FA;;;WD)",""
"23:04:16.488885","ShareFileAccess","5145","S-1-5-21-3393082697-3192495989-2329455330-1012","smbtest","WIN-DESK-2022","0x70288c06","File","192.168.1.20","49690","\\*\ProbeTest","\??\D:\tmp\ProbeTest","copy_source.txt:Zone.Identifier","0x80","ReadAttributes","%%4423 /     ","ReadAttributes(%%4423)","%%4423: %%1801 D:(A;;FA;;;WD) /     ","ReadAttributes: 許可 D:(A;;FA;;;WD)",""
