"時刻","操作","EventID","AccessList","AccessMask","AccessReason","EtwTime","IpAddress","IpPort","ObjectType","RelativeTargetName","ShareLocalPath","ShareName","SubjectDomainName","SubjectLogonId","SubjectUserName","SubjectUserSid"
"06:37:56.705927","ShareFileAccess","5145","%%1541     %%4416     %%4423","0x100081","%%1541: %%1801 D:(A;;FA;;;WD)     %%4416: %%1801 D:(A;;FA;;;WD)     %%4423: %%1801 D:(A;;FA;;;WD)","06:37:56.110223","192.168.1.20","59055","File","\","\??\D:\tmp\ProbeTest","\\*\ProbeTest","WIN-DESK-2022","0x643867fb","smbtest","S-1-5-21-3393082697-3192495989-2329455330-1012"
"06:37:56.706136","ShareFileAccess","5145","%%4423","0x80","%%4423: %%1801 D:(A;;FA;;;WD)","06:37:56.112447","192.168.1.20","55411","File","\","\??\D:\tmp\ProbeTest","\\*\ProbeTest","WIN-DESK-2022","0x643867fb","smbtest","S-1-5-21-3393082697-3192495989-2329455330-1012"
"06:37:56.706410","ShareFileAccess","5145","%%1538     %%4423","0x20080","%%1538: %%1801 D:(A;;FA;;;WD)     %%4423: %%1801 D:(A;;FA;;;WD)","06:37:56.113757","192.168.1.20","59054","File","SOURCEFOLDERS","\??\D:\tmp\ProbeTest","\\*\ProbeTest","WIN-DESK-2022","0x643867fb","smbtest","S-1-5-21-3393082697-3192495989-2329455330-1012"
"06:37:56.706634","ShareFileAccess","5145","%%1538     %%4423","0x20080","%%1538: %%1801 D:(A;;FA;;;WD)     %%4423: %%1801 D:(A;;FA;;;WD)","06:37:56.115278","192.168.1.20","59053","File","\","\??\D:\tmp\ProbeTest","\\*\ProbeTest","WIN-DESK-2022","0x643867fb","smbtest","S-1-5-21-3393082697-3192495989-2329455330-1012"
"06:37:56.706874","ShareFileAccess","5145","%%1541     %%4416     %%4423","0x100081","%%1541: %%1801 D:(A;;FA;;;WD)     %%4416: %%1801 D:(A;;FA;;;WD)     %%4423: %%1801 D:(A;;FA;;;WD)","06:37:56.116827","192.168.1.20","55411","File","\","\??\D:\tmp\ProbeTest","\\*\ProbeTest","WIN-DESK-2022","0x643867fb","smbtest","S-1-5-21-3393082697-3192495989-2329455330-1012"
"06:37:56.707126","ShareFileAccess","5145","%%1541     %%4416     %%4423","0x100081","%%1541: %%1801 D:(A;;FA;;;WD)     %%4416: %%1801 D:(A;;FA;;;WD)     %%4423: %%1801 D:(A;;FA;;;WD)","06:37:56.120682","192.168.1.20","59054","File","\","\??\D:\tmp\ProbeTest","\\*\ProbeTest","WIN-DESK-2022","0x643867fb","smbtest","S-1-5-21-3393082697-3192495989-2329455330-1012"
"06:37:56.707415","ShareFileAccess","5145","%%1541     %%4416     %%4423","0x100081","%%1541: %%1801 D:(A;;FA;;;WD)     %%4416: %%1801 D:(A;;FA;;;WD)     %%4423: %%1801 D:(A;;FA;;;WD)","06:37:56.120927","192.168.1.20","59053","File","\","\??\D:\tmp\ProbeTest","\\*\ProbeTest","WIN-DESK-2022","0x643867fb","smbtest","S-1-5-21-3393082697-3192495989-2329455330-1012"
"06:37:56.707694","ShareFileAccess","5145","%%1541     %%4423","0x100080","%%1541: %%1801 D:(A;;FA;;;WD)     %%4423: %%1801 D:(A;;FA;;;WD)","06:37:56.141365","192.168.1.20","55411","File","\","\??\D:\tmp\ProbeTest","\\*\ProbeTest","WIN-DESK-2022","0x643867fb","smbtest","S-1-5-21-3393082697-3192495989-2329455330-1012"
"06:37:56.708018","ShareFileAccess","5145","%%1541     %%4423","0x100080","%%1541: %%1801 D:(A;;FA;;;WD)     %%4423: %%1801 D:(A;;FA;;;WD)","06:37:56.148444","192.168.1.20","59055","File","MoveFolderSource","\??\D:\tmp\ProbeTest","\\*\ProbeTest","WIN-DESK-2022","0x643867fb","smbtest","S-1-5-21-3393082697-3192495989-2329455330-1012"
"06:37:56.708204","ShareFileAccess","5145","%%1541     %%4423","0x100080","%%1541: %%1801 D:(A;;FA;;;WD)     %%4423: %%1801 D:(A;;FA;;;WD)","06:37:56.149908","192.168.1.20","59054","File","\","\??\D:\tmp\ProbeTest","\\*\ProbeTest","WIN-DESK-2022","0x643867fb","smbtest","S-1-5-21-3393082697-3192495989-2329455330-1012"
"06:37:56.708462","ShareFileAccess","5145","%%1541     %%4423","0x100080","%%1541: %%1801 D:(A;;FA;;;WD)     %%4423: %%1801 D:(A;;FA;;;WD)","06:37:56.150453","192.168.1.20","59055","File","\","\??\D:\tmp\ProbeTest","\\*\ProbeTest","WIN-DESK-2022","0x643867fb","smbtest","S-1-5-21-3393082697-3192495989-2329455330-1012"
"06:37:56.708672","ShareFileAccess","5145","%%1541     %%4416     %%4423","0x100081","%%1541: %%1801 D:(A;;FA;;;WD)     %%4416: %%1801 D:(A;;FA;;;WD)     %%4423: %%1801 D:(A;;FA;;;WD)","06:37:56.153550","192.168.1.20","59054","File","\","\??\D:\tmp\ProbeTest","\\*\ProbeTest","WIN-DESK-2022","0x643867fb","smbtest","S-1-5-21-3393082697-3192495989-2329455330-1012"
"06:37:56.708910","ShareFileAccess","5145","%%1541     %%4423","0x100080","%%1541: %%1801 D:(A;;FA;;;WD)     %%4423: %%1801 D:(A;;FA;;;WD)","06:37:56.160803","192.168.1.20","55411","File","MoveFolderSource","\??\D:\tmp\ProbeTest","\\*\ProbeTest","WIN-DESK-2022","0x643867fb","smbtest","S-1-5-21-3393082697-3192495989-2329455330-1012"
"06:37:58.603309","ShareFileAccess","5145","%%1541     %%4416     %%4423","0x100081","%%1541: %%1801 D:(A;;FA;;;WD)     %%4416: %%1801 D:(A;;FA;;;WD)     %%4423: %%1801 D:(A;;FA;;;WD)","06:37:57.915329","192.168.1.20","59055","File","SourceFolders\RenameFolderSource_hoge","\??\D:\tmp\ProbeTest","\\*\ProbeTest","WIN-DESK-2022","0x643867fb","smbtest","S-1-5-21-3393082697-3192495989-2329455330-1012"
